period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2022-10-27,PNM,Public Service Company of New Mexico,SUN,Solar,Arizona,Arizona,2279,megawatthours
2022-10-27,BPAT,Bonneville Power Administration,SUN,Solar,Pacific,Pacific,888,megawatthours
2022-10-27,PACW,PacifiCorp West,SUN,Solar,Pacific,Pacific,2108,megawatthours
2022-10-26,SE,Southeast,SUN,Solar,Pacific,Pacific,9188,megawatthours
2022-10-26,FLA,Florida,SUN,Solar,Pacific,Pacific,28577,megawatthours
2022-10-26,TAL,City of Tallahassee,SUN,Solar,Pacific,Pacific,416,megawatthours
2022-10-27,MIDA,Mid-Atlantic,SUN,Solar,Eastern,Eastern,21010,megawatthours
2022-10-27,SW,Southwest,SUN,Solar,Eastern,Eastern,15326,megawatthours
2022-10-26,FPL,Florida Power & Light Co.,SUN,Solar,Pacific,Pacific,22649,megawatthours
2022-10-26,SOCO,"Southern Company Services, Inc. - Trans",SUN,Solar,Mountain,Mountain,9189,megawatthours
2022-10-27,GRID,"Gridforce Energy Management, LLC",SUN,Solar,Mountain,Mountain,998,megawatthours
2022-10-26,TAL,City of Tallahassee,SUN,Solar,Mountain,Mountain,416,megawatthours
2022-10-27,NY,New York,SUN,Solar,Eastern,Eastern,0,megawatthours
2022-10-27,NEVP,Nevada Power Company,SUN,Solar,Central,Central,16351,megawatthours
2022-10-27,PNM,Public Service Company of New Mexico,SUN,Solar,Eastern,Eastern,2280,megawatthours
2022-10-26,NWMT,NorthWestern Corporation,SUN,Solar,Arizona,Arizona,62,megawatthours
2022-10-27,SCEG,"Dominion Energy South Carolina, Inc.",SUN,Solar,Eastern,Eastern,5331,megawatthours
